"Player","Team","Positions","IP","K","SV","BS","HD","ERA","WHIP","ER","H","BB","HR","G","W","L","Own"
"Edwin Diaz","NYM","RP","67.0","103","37","3","0","2.40","0.97","18","44","21","6","68","3","3","99%"
"Kenley Jansen","LAD","RP","65.5","81","38","5","0","2.97","1.01","22","51","15","9","65","3","3","98%"
"Blake Treinen","OAK","RP","72.8","83","33","7","0","2.64","1.12","21","58","24","5","69","4","3","99%"
"Brad Hand","CLE","RP","69.6","93","37","9","0","3.08","1.13","24","54","25","8","69","4","3","98%"
"Aroldis Chapman","NYY","RP","58.4","93","35","4","0","2.61","1.09","17","37","27","5","60","3","2","98%"
"Craig Kimbrel","","RP","62.1","94","29","4","0","2.74","1.05","19","39","27","6","64","3","2","94%"
"Felipe Vazquez","PIT","RP","67.6","84","34","4","0","2.80","1.16","21","55","23","5","68","3","3","98%"
"Roberto Osuna","HOU","RP","61.1","66","36","7","0","3.12","1.04","21","52","12","7","63","3","3","98%"
"Collin McHugh","HOU","RP,SP","143.1","149","0","0","0","3.86","1.25","61","135","44","19","29","10","7","52%"
"Raisel Iglesias","CIN","RP","69.3","79","31","3","0","3.38","1.19","26","58","24","9","64","3","3","85%"
"Tyler Glasnow","TB","SP,RP","135.6","160","0","0","0","3.95","1.32","60","115","64","17","26","8","8","59%"
"Wade Davis","COL","RP","62.1","75","34","4","0","3.67","1.22","25","50","26","7","63","3","3","89%"
"Ken Giles","TOR","RP","62.1","73","30","2","0","3.69","1.20","25","57","18","7","64","3","3","83%"
"Wade LeBlanc","SEA","SP,RP","142.6","113","0","0","0","4.36","1.28","69","143","39","23","25","8","9","5%"
"Robbie Erlin","SD","SP,RP","118.8","96","0","0","0","4.15","1.26","55","125","24","17","25","7","8","1%"
"Ryan Yarbrough","TB","SP,RP","132.9","113","0","0","0","4.21","1.32","62","131","44","18","32","8","8","11%"
"Brad Keller","KC","SP,RP","157.7","113","0","0","0","4.06","1.39","71","162","57","15","31","9","9","9%"
"Yonny Chirinos","TB","SP,RP","108.6","90","0","0","0","4.08","1.29","49","111","29","16","29","6","6","2%"
"Brandon Woodruff","MIL","SP,RP","115.2","108","0","0","0","4.28","1.35","55","112","44","17","25","7","7","5%"
"Antonio Senzatela","COL","SP,RP","148.3","118","0","0","0","4.51","1.40","74","155","52","21","29","9","9","1%"
"Corbin Burnes","MIL","RP","95.7","88","0","0","0","4.38","1.37","47","96","35","13","25","6","6","6%"
"Justus Sheffield","SEA","SP,RP","95.6","84","0","0","0","4.42","1.43","47","94","43","13","20","5","6","6%"
"James Hoyt","CLE","RP","36.9","44","0","0","0","3.54","1.29","15","33","15","5","41","3","1","0%"
